Row.Label,Five-digit.FIPS.Code,State.FIPS.Code,County.FIPS.Code,State.Abbreviation,CountyName,Poor.Health,Election.Results.2016,Uninsured,Primary.Care.Physicians.Per.1000,Mental.health.providers.Per.1000,Adult.Obesity,Proportion.of.Smokers,High.School.Graduation,Insufficient.Sleep,Physical.Inactivity,Excessive.Drinking,Median.Household.Income,Severe.Housing.Problems,Unemployment,Food.Insecurity.Quintile,Income.Inequality.Quartile,Percent.Rural,Over.65,Percent.Females,Life.Expectancy,Population
AL_Autauga County,1001,1,1,AL,Autauga County,0.1841,Republican,0.085,0.415,0.162,0.375,0.191247478,0.9,0.3591,0.311,0.168780151,58343,0.1495,0.0386,Q3,Q3,0.42,0.151,0.513,76.33058901,55504
AL_Baldwin County,1003,1,3,AL,Baldwin County,0.1806,Republican,0.107,0.729,0.912,0.31,0.167955302,0.8636,0.3331,0.238,0.167149687,56607,0.1383,0.0399,Q3,Q3,0.4228,0.199,0.515,78.59949766,212628
AL_Barbour County,1005,1,5,AL,Barbour County,0.2577,Republican,0.1251,0.385,0.079,0.443,0.215393748,0.8141,0.3856,0.282,0.126987154,32490,0.1546,0.059,Q5,Q4,0.6779,0.188,0.472,75.77945737,25270
AL_Bibb County,1007,1,7,AL,Bibb County,0.2,Republican,0.0968,0.574,0.088,0.378,0.19917946,0.8376,0.3815,0.349,0.159251508,45795,0.1096,0.0439,Q4,Q2,0.6835,0.16,0.465,73.92827108,22668
AL_Blount County,1009,1,9,AL,Blount County,0.211,Republican,0.1211,0.225,0.103,0.344,0.196524917,0.9347,0.3595,0.285,0.153787219,48253,0.104,0.0402,Q2,Q2,0.8995,0.178,0.507,74.59776688,58013
AL_Bullock County,1011,1,11,AL,Bullock County,0.2941,Democrat,0.1321,0.29,0.097,0.394,0.234746338,0.7025,0.4502,0.292,0.128963173,29113,0.2076,0.0493,Q5,Q4,0.5137,0.158,0.455,73.11753012,10309
AL_Butler County,1013,1,13,AL,Butler County,0.265,Republican,0.1067,0.3,0.353,0.402,0.221992434,0.8159,0.4191,0.347,0.130428113,36842,0.1378,0.0549,Q5,Q4,0.7123,0.196,0.534,73.50538502,19825
AL_Calhoun County,1015,1,15,AL,Calhoun County,0.1958,Republican,0.112,0.646,0.985,0.371,0.204623109,0.9237,0.4131,0.302,0.15431677,45937,0.1454,0.0493,Q5,Q4,0.337,0.173,0.519,73.1029477,114728
AL_Chambers County,1017,1,17,AL,Chambers County,0.2522,Republican,0.1066,0.502,0.059,0.403,0.220389761,0.8624,0.3727,0.324,0.135284509,36883,0.1607,0.0408,Q5,Q3,0.4915,0.191,0.521,74.12227764,33713
AL_Cherokee County,1019,1,19,AL,Cherokee County,0.1929,Republican,0.119,0.35,0.193,0.363,0.191437522,0.949,0.3536,0.318,0.152327307,44842,0.1547,0.0405,Q3,Q3,0.8574,0.226,0.503,74.34657229,25857
AL_Chilton County,1021,1,21,AL,Chilton County,0.2147,Republican,0.1421,0.182,0.408,0.353,0.196723172,0.8821,0.3517,0.312,0.150643127,46405,0.1306,0.0405,Q3,Q4,0.8674,0.164,0.508,74.19263044,44067
AL_Choctaw County,1023,1,23,AL,Choctaw County,0.2411,Republican,0.1128,0.385,0.463,0.413,0.190652762,0.7863,0.3829,0.326,0.130252404,36711,0.1336,0.0639,Q5,Q4,1,0.227,0.527,74.28412612,12945
AL_Clarke County,1025,1,25,AL,Clarke County,0.277,Republican,0.1138,0.574,0.664,0.396,0.209317776,0.9091,0.4084,0.323,0.133536953,36719,0.1268,0.0848,Q5,Q4,0.7598,0.193,0.528,75.89374365,24083
AL_Clay County,1027,1,27,AL,Clay County,0.2059,Republican,0.1344,0.371,0.15,0.377,0.191366799,0.8981,0.3854,0.306,0.148191337,39642,0.143,0.0437,Q4,Q4,1,0.202,0.511,75.39303201,13367
AL_Cleburne County,1029,1,29,AL,Cleburne County,0.183,Republican,0.119,0.268,0.403,0.345,0.197114094,0.9803,0.335,0.287,0.159700472,45480,0.116,0.0446,Q3,Q4,1,0.191,0.504,73.62978506,14900
AL_Coffee County,1031,1,31,AL,Coffee County,0.2023,Republican,0.108,0.547,0.54,0.334,0.182017967,0.9252,0.373,0.303,0.155284197,51998,0.1221,0.0439,Q4,Q3,0.472,0.166,0.507,77.20313581,51874
AL_Colbert County,1033,1,33,AL,Colbert County,0.2025,Republican,0.0971,0.682,0.312,0.325,0.183706422,0.9214,0.3695,0.33,0.158227726,46100,0.1455,0.0521,Q4,Q4,0.4389,0.196,0.52,74.85102703,54500
AL_Conecuh County,1035,1,35,AL,Conecuh County,0.2907,Republican,0.128,0.484,0.642,0.387,0.234822359,0.8037,0.4232,0.346,0.114525511,30796,0.1712,0.0614,Q5,Q4,0.8095,0.219,0.52,75.03381156,12469
AL_Covington County,1039,1,39,AL,Covington County,0.2245,Republican,0.1233,0.507,0.593,0.334,0.209398253,0.949,0.3591,0.328,0.154018905,39093,0.1365,0.0524,Q4,Q3,0.6965,0.207,0.518,74.21578352,37092
AL_Crenshaw County,1041,1,41,AL,Crenshaw County,0.2229,Republican,0.1151,0.144,0.505,0.382,0.199769303,0.8908,0.3755,0.3,0.144356462,38419,0.0994,0.0447,Q5,Q4,1,0.187,0.516,74.83108815,13871
AL_Cullman County,1043,1,43,AL,Cullman County,0.207,Republican,0.1283,0.582,1.196,0.345,0.203407649,0.9052,0.3537,0.334,0.158956495,45925,0.1363,0.0371,Q2,Q3,0.7324,0.183,0.506,74.68351768,82755
AL_Dale County,1045,1,45,AL,Dale County,0.2261,Republican,0.1104,0.163,0.813,0.373,0.186121155,0.9032,0.4085,0.287,0.143945089,42572,0.1272,0.0443,Q5,Q4,0.5089,0.163,0.507,75.40785777,49226
AL_Dallas County,1047,1,47,AL,Dallas County,0.2871,Democrat,0.1037,0.75,0.485,0.419,0.221955884,0.8619,0.4232,0.281,0.120164766,31329,0.23,0.0753,Q5,Q4,0.4564,0.173,0.539,71.71567861,39215
AL_DeKalb County,1049,1,49,AL,DeKalb County,0.231,Republican,0.1658,0.423,0.223,0.304,0.223634053,0.9274,0.3582,0.305,0.148939633,39906,0.1309,0.0449,Q2,Q3,0.9013,0.168,0.503,74.22449164,71617
AL_Elmore County,1051,1,51,AL,Elmore County,0.1896,Republican,0.0855,0.269,0.11,0.361,0.186613122,0.8616,0.3842,0.279,0.165722236,59652,0.1129,0.0364,Q3,Q2,0.5419,0.147,0.515,76.12256617,81677
AL_Escambia County,1053,1,53,AL,Escambia County,0.2445,Republican,0.1318,0.398,0.481,0.384,0.208668251,0.8779,0.3975,0.3,0.131466349,37870,0.1193,0.0503,Q5,Q4,0.6351,0.173,0.488,72.88719273,37447
AL_Etowah County,1055,1,55,AL,Etowah County,0.2297,Republican,0.1152,0.79,1.061,0.361,0.231307479,0.9027,0.4084,0.334,0.138046706,41791,0.1219,0.0457,Q4,Q3,0.3748,0.186,0.516,73.05367813,102755
AL_Franklin County,1059,1,59,AL,Franklin County,0.2241,Republican,0.1307,0.443,0.127,0.33,0.2088903,0.9211,0.3842,0.335,0.149535981,41025,0.1231,0.0423,Q3,Q2,0.7037,0.165,0.497,74.05499686,31495
AL_Geneva County,1061,1,61,AL,Geneva County,0.2376,Republican,0.1411,0.263,0.151,0.38,0.223042277,0.9029,0.3692,0.323,0.146565498,38561,0.1148,0.0427,Q4,Q4,0.8964,0.2,0.511,74.32717473,26421
AL_Greene County,1063,1,63,AL,Greene County,0.341,Democrat,0.1109,0.594,0.12,0.421,0.244297719,0.7753,0.4524,0.279,0.099536822,28108,0.175,0.0766,Q5,Q4,1,0.213,0.528,73.85479914,8330
AL_Hale County,1065,1,65,AL,Hale County,0.2748,Democrat,0.1121,0.134,0.135,0.42,0.22063192,0.9128,0.418,0.309,0.129096037,34905,0.1789,0.0589,Q5,Q4,0.8917,0.188,0.525,74.24185248,14812
AL_Henry County,1067,1,67,AL,Henry County,0.2128,Republican,0.1174,0.291,0.175,0.379,0.196652476,0.9791,0.3811,0.323,0.136764088,48094,0.1117,0.0487,Q4,Q4,0.8775,0.222,0.517,75.59793011,17147
AL_Houston County,1069,1,69,AL,Houston County,0.2381,Republican,0.1113,0.865,1.323,0.36,0.215092097,0.9092,0.3705,0.288,0.156056708,44753,0.1315,0.0434,Q5,Q4,0.338,0.174,0.52,75.98739983,104346
AL_Jackson County,1071,1,71,AL,Jackson County,0.1952,Republican,0.1258,0.518,0.443,0.37,0.223140496,0.9012,0.3804,0.304,0.151252171,42658,0.0969,0.0477,Q3,Q4,0.7702,0.195,0.509,73.66010976,51909
AL_Jefferson County,1073,1,73,AL,Jefferson County,0.1984,Democrat,0.0985,1.083,1.556,0.333,0.184078508,0.8873,0.3635,0.279,0.161319924,50731,0.1773,0.0424,Q5,Q4,0.0983,0.154,0.527,74.72026828,659197
AL_Lauderdale County,1077,1,77,AL,Lauderdale County,0.1938,Republican,0.0994,0.509,1.459,0.346,0.187501351,0.9439,0.3506,0.282,0.146755257,46646,0.1277,0.0461,Q4,Q3,0.493,0.196,0.521,76.19725856,92538
AL_Lawrence County,1079,1,79,AL,Lawrence County,0.2141,Republican,0.1398,0.15,1.18,0.35,0.211020001,0.8806,0.3872,0.349,0.154008173,42912,0.1145,0.0488,Q4,Q4,0.9129,0.182,0.513,74.03277127,33049
AL_Lee County,1081,1,81,AL,Lee County,0.1938,Republican,0.1049,0.516,0.811,0.314,0.187359224,0.9114,0.3657,0.221,0.184110563,51372,0.1991,0.0391,Q5,Q4,0.2741,0.115,0.507,78.16330406,161604
AL_Limestone County,1083,1,83,AL,Limestone County,0.1842,Republican,0.1106,0.356,0.403,0.336,0.18782441,0.9201,0.3739,0.273,0.156943809,57342,0.1107,0.0398,Q3,Q4,0.5761,0.149,0.498,77.79918567,94402
AL_Lowndes County,1085,1,85,AL,Lowndes County,0.3005,Democrat,0.1135,0.097,0.463,0.462,0.223600635,0.913,0.4274,0.329,0.107588401,33130,0.2114,0.08,Q5,Q4,1,0.182,0.526,70.81807959,10076
AL_Macon County,1087,1,87,AL,Macon County,0.2998,Democrat,0.1042,0.316,3.892,0.467,0.217915223,0.8,0.4589,0.307,0.11820092,30849,0.2079,0.0578,Q5,Q4,0.5555,0.194,0.544,74.08991223,18755
AL_Madison County,1089,1,89,AL,Madison County,0.1472,Republican,0.0876,0.882,1.302,0.318,0.164211762,0.9319,0.3615,0.219,0.155919332,62750,0.1256,0.0385,Q4,Q4,0.1644,0.146,0.511,77.56460772,361046
AL_Marengo County,1091,1,91,AL,Marengo County,0.274,Democrat,0.101,0.407,0.31,0.407,0.214348387,0.9091,0.3926,0.315,0.116080913,37469,0.1812,0.0565,Q5,Q4,0.6932,0.193,0.529,74.31460188,19375
AL_Marion County,1093,1,93,AL,Marion County,0.2086,Republican,0.114,0.3,0.101,0.364,0.20819227,0.9022,0.3754,0.316,0.138242026,38049,0.1223,0.0479,Q3,Q3,0.8885,0.21,0.505,74.45516162,29833
AL_Marshall County,1095,1,95,AL,Marshall County,0.2196,Republican,0.1373,0.589,2.303,0.33,0.215996149,0.9229,0.3571,0.329,0.145717183,42751,0.1392,0.038,Q2,Q3,0.5327,0.168,0.507,74.22396708,95548
AL_Mobile County,1097,1,97,AL,Mobile County,0.1988,Republican,0.1239,0.656,0.833,0.369,0.189131669,0.8371,0.3729,0.284,0.164616633,45615,0.1703,0.0518,Q5,Q4,0.2002,0.158,0.523,75.18092438,413955
AL_Monroe County,1099,1,99,AL,Monroe County,0.2617,Republican,0.123,0.372,0.703,0.391,0.219158813,0.8803,0.3805,0.316,0.121205873,36432,0.1231,0.0674,Q5,Q4,0.7904,0.196,0.524,74.35590477,21327
AL_Montgomery County,1101,1,101,AL,Montgomery County,0.2127,Democrat,0.1112,0.972,1.209,0.366,0.196063465,0.8161,0.3712,0.258,0.158958158,45833,0.1884,0.043,Q5,Q4,0.1049,0.146,0.528,75.81389925,226646
AL_Morgan County,1103,1,103,AL,Morgan County,0.2048,Republican,0.1116,0.546,1.338,0.315,0.200718746,0.902,0.3752,0.272,0.146660517,49274,0.1314,0.0411,Q3,Q3,0.386,0.171,0.508,75.50516228,118818
AL_Perry County,1105,1,105,AL,Perry County,0.323,Democrat,0.1125,0.313,0.321,0.449,0.232680158,0.9307,0.4402,0.345,0.117630645,26703,0.2029,0.0794,Q5,Q4,1,0.191,0.532,71.8073582,9339
AL_Pickens County,1107,1,107,AL,Pickens County,0.2514,Republican,0.1169,0.394,0.149,0.36,0.214214909,0.9818,0.4024,0.274,0.138362951,38379,0.1576,0.0529,Q5,Q4,1,0.184,0.503,75.51025145,20176
AL_Pike County,1109,1,109,AL,Pike County,0.2222,Republican,0.1282,0.481,0.361,0.428,0.222292362,0.8729,0.391,0.261,0.160278005,40680,0.1529,0.0488,Q5,Q4,0.5168,0.149,0.518,75.56737294,33267
AL_Randolph County,1111,1,111,AL,Randolph County,0.2158,Republican,0.1196,0.265,0.221,0.366,0.197485664,0.9181,0.3635,0.304,0.142618201,41112,0.1711,0.044,Q4,Q3,0.8134,0.203,0.515,74.15062539,22670
AL_Russell County,1113,1,113,AL,Russell County,0.2378,Democrat,0.108,0.223,0.368,0.404,0.21779297,0.8815,0.4125,0.309,0.146612736,36186,0.1693,0.043,Q5,Q3,0.3541,0.14,0.52,72.91510157,57045
AL_St. Clair County,1115,1,115,AL,St. Clair County,0.1814,Republican,0.0943,0.17,0.147,0.356,0.196328757,0.8841,0.3663,0.295,0.156793757,52755,0.1171,0.0397,Q2,Q2,0.728,0.163,0.503,75.10036379,88199
AL_Shelby County,1117,1,117,AL,Shelby County,0.1462,Republican,0.074,0.855,0.702,0.329,0.168750731,0.9422,0.367,0.223,0.187744943,74098,0.1058,0.0323,Q1,Q2,0.2294,0.148,0.515,80.36632737,213605
AL_Sumter County,1119,1,119,AL,Sumter County,0.3198,Democrat,0.1288,0.537,0.158,0.431,0.230078033,0.7698,0.4328,0.318,0.11485544,26495,0.2679,0.0654,Q5,Q4,1,0.174,0.544,72.90228422,12687
